Neighborhood,Latitude,Longitude
Ashok Nagar (Delhi),28.69037000000003,77.17609000000004
Ashok Vihar,28.710598435255907,77.32696519316737
Ashram Chowk,28.50738000000007,77.30346000000003
Babarpur,28.50738000000007,77.30346000000003
"Badarpur, Delhi",28.65223022436032,77.12941079026544
Bali Nagar,28.800590000000057,77.03473000000008
Bawana,28.549540000000036,77.18167000000005
Ber Sarai,28.699880000000064,77.25906000000003
Bhajanpura,28.595060000000046,77.18573000000004
Chanakyapuri,28.656270000000063,77.23232000000007
Chandni Chowk,28.67671000000007,77.21767000000006
"Civil Lines, Delhi",28.633940000000052,77.21968000000004
"Connaught Place, New Delhi",28.60761000000008,77.08714000000003
"Dabri, New Delhi",28.654597885415757,77.2333966005242
Dariba Kalan,28.62832000000003,77.24727000000007
Daryaganj,28.60486000000003,77.08511000000004
Dashrath Puri,28.560590000000047,77.24678000000006
Dayanand Colony,28.57298000000003,77.23357000000004
Defence Colony,28.591510000000028,77.12945000000008
Delhi Cantonment,28.699110000000076,77.19105000000008
Derawal Nagar,28.592220036588714,77.15998300657745
Dhaula Kuan,28.684700000000078,77.32774000000006
Dilshad Colony,28.679040000000043,77.31476000000004
Dilshad Garden,28.589950000000044,77.04004000000003
"Dwarka, Delhi",28.64817000000005,77.17833000000007
East Patel Nagar,28.521130000000028,77.18017000000003
"Gadaipur, Mehrauli, New Delhi",28.528450000000078,77.20354000000003
Geetanjali Enclave,28.49830000000003,77.13596000000007
Ghitorni,28.634100000000046,77.20569000000006
Gole Market,28.603040000000078,77.23269000000005
"Golf Links, New Delhi",28.53508000000005,77.26512000000008
Govindpuri,28.548490000000072,77.23667000000006
Greater Kailash,28.558970000000045,77.20462000000003
"Green Park, Delhi",28.620430000000056,77.04941000000008
Gulabi Bagh,28.55439000000007,77.21252000000004
Gulmohar Park,28.551090000000045,77.20399000000003
Hauz Khas,28.628030000000024,77.14504000000005
Inder Puri,28.627910000000043,77.09060000000005
Janakpuri,28.58340000000004,77.24719000000005
Jangpura,28.546380000000056,77.18897000000004
Jia Sarai,28.689610881623395,77.14105187218237
"Kabir Nagar, New Delhi",28.556130000000053,77.24060000000003
Kailash Colony,28.683760000000063,77.20163000000008
"Kamla Nagar, New Delhi",28.521630000000073,77.08645000000007
"Kapasheda Border, Delhi",28.650450000000035,77.18873000000008
Karol Bagh,28.688010000000077,77.15866000000005
Keshav Puram,28.594100000000026,76.97036000000008
"Khaira, Delhi",28.509630000000072,77.23108000000008
"Khanpur, Delhi",28.657260000000065,77.22284000000008
Khari Baoli,28.711690000000033,77.20197000000007
Kingsway Camp,28.648210000000063,77.14273000000003
Kirti Nagar,28.574350000000038,77.22419000000008
Kotla Mubarakpur Complex,28.65545000000003,77.28336000000007
"Krishna Nagar, Delhi",28.570260000000076,77.24700000000007
Lajpat Nagar,28.638750000000073,77.27592000000004
Laxmi Nagar (Delhi),28.57815000000005,77.20618000000007
Laxmibai Nagar,28.584760000000074,77.22534000000007
Lodhi Colony,28.601480000000038,77.22901000000007
Lutyens' Delhi,28.533280000000047,77.31645000000003
Madanpur Khadar JJ Colony,28.572230000000047,77.26357000000007
Maharani Bagh,28.54842000000008,77.13636000000008
Mahipalpur,28.698930000000075,77.22715000000005
Majnu-ka-tilla,28.53394000000003,77.20702000000006
Malviya Nagar (Delhi),28.62334000000004,77.12096000000008
Mayapuri,28.607713573113497,77.2906701198544
Mayur Vihar,28.61125000000004,77.33406000000008
Mayur Vihar Phase - 3,28.66121000000004,77.08690000000007
Meera Bagh,28.521130000000028,77.18017000000003
Mehrauli,28.705010000000073,77.18950000000007
Model Town (Delhi),28.583620000000053,77.16474000000005
Moti Bagh,28.656720000000064,77.12960000000004
Moti Nagar (New Delhi),28.710530000000063,77.21440000000007
Mukherjee Nagar,28.555040000000076,77.17132000000004
Munirka,28.62510000000003,76.99740000000008
Najafgarh,28.622880000000066,77.11337000000003
Nanakpura,28.696710000000053,77.30385000000007
Nand Nagri,28.67865000000006,77.06769000000008
Nangloi Jat,28.631490000000042,77.13713000000007
Naraina Area,28.83979000000005,77.07696000000004
Narela,28.67369000000008,77.28326000000004
Naveen Shahdara,28.57746000000003,77.18517000000008
"Netaji Nagar, Delhi",28.63095000000004,77.21721000000008
New Delhi,28.57812000000007,77.26999000000006
New Friends Colony,28.58100999546285,77.18183002303442
New Moti Bagh,28.66471000000007,77.23633000000007
Nigambodh Ghat,28.601239638219138,77.26452121289783
Nizamuddin East,28.590820000000065,77.24434000000008
Nizamuddin West,28.532470000000046,77.27839000000006
Okhla,28.654340000000047,77.23258000000004
Old Delhi,28.591060000000027,77.09117000000003
Palam,28.631560000000036,77.21959000000004
Palika Bazaar,28.546773567119047,77.24475716112403
Pamposh Enclave,28.614580000000046,77.27574000000004
Pandav Nagar,28.66933000000006,77.09173000000004
Paschim Vihar,28.647830000000056,77.16449000000006
Patel Nagar,28.69590000000005,77.13725000000005
Pitam Pura,28.666340000000048,77.12500000000006
Punjabi Bagh,28.618399609909172,77.21548109973779
Raisina Hill,28.59075000000007,77.22749000000005
"Rajendra Nagar, Delhi",28.64546000000007,77.17776000000003
Rajendra Place,28.645620000000065,77.12209000000007
Rajouri Garden,28.565530000000024,77.17719000000005
Rama Krishna Puram,28.68584000000004,77.13188000000008
"Rani Bagh, Delhi",28.733560000000068,77.10401000000007
"Rohini, Delhi",28.68372000000005,77.19747000000007
Roop Nagar,28.590280000000064,77.12014000000005
"Sadar Bazaar, Delhi",28.565830000000062,77.19907000000006
Safdarjung (Delhi),28.60588000000007,77.09552000000008
Sagar Pur,28.52407000000005,77.20677000000006
Saket (Delhi),28.528130000000033,77.21905000000004
Saket District Centre,28.585180000000037,77.26346000000007
Sarai Kale Khan,28.550380000000075,77.28341000000006
Sarita Vihar,28.575600000000065,77.19364000000007
Sarojini Nagar,28.689440000000047,77.29381000000006
Seelampur subdivision,28.68760000000003,77.33062000000007
Seemapuri subdivision,28.65390000000008,77.29641000000004
Shahdara district,28.54854000000006,77.21393000000006
Shahpur Jat,28.67557000000005,77.16190000000006
"Shakti Nagar, Delhi",28.714230000000043,77.15744000000007
Shalimar Bagh (Delhi Assembly constituency),28.63847000000004,77.28912000000008
Shankar Vihar,28.577560000000062,77.16811000000007
"Shanti Niketan, Delhi",28.670060000000035,77.25175000000007
Shastri Park,28.664450000000045,77.05740000000003
Shiv Ram Park,28.65265000000005,77.12139000000008
Shivaji Place,28.562490000000025,77.21517000000006
South Extension,28.645610000000033,77.16682000000003
South Patel Nagar,28.565680000000043,77.25733000000008
Sriniwaspuri,28.64089000000007,77.08922000000007
Tilak Nagar (Delhi),28.666000000000054,77.21520000000004
Tis Hazari,28.64888121138792,77.23869188635516
Urdu Bazaar,28.531520000000057,77.15020000000004
Vasant Kunj,28.564940000000036,77.16131000000007
"Vasant Vihar, Delhi",28.600150000000042,77.31663000000003
Vasundhara Enclave,28.646420000000035,77.30615000000006
Vivek Vihar subdivision,28.647830000000056,77.16449000000006
West Patel Nagar,28.656300000000044,77.21556000000004
Yamuna Pushta,28.700590000000034,77.27212000000003
Yamuna Vihar,,
